Категория,Количество_проданных_товаров,Количество_уникальных_товаров,Средняя_цена,Медианная_цена,Общая_сумма,Процент от оборота,Список_товаров
Мешки,"2 244 462,00","21,00","159,98","122,83","207 519 615,69","32,17%","Мешок А, Мешок Б, Мешок В, Мешок Г, Мешок Д, Мешок Е, Мешочек, Пыльник В, Рюкзак-мешок А, Рюкзак-мешок Б, Рюкзак-мешок В, Рюкзак-мешок Г, Рюкзак-мешок Д, Рюкзак-мешок Е, Рюкзак-мешок Ж, Рюкзак-мешок З, Рюкзак-мешок И, Рюкзак-мешок Й, Рюкзак-мешок гпб А, Рюкзак-мешок гпб Б, Рюкзак-мешок гпб В"
Фарфор,"137 905,00","95,00","1 069,13","820,16","68 201 304,83","10,57%","Блюдо Farforite «Рябиновые бусы» белое / красное, Блюдо без бортов 27см с деколью ""Хозяин леса"", Блюдце белье, Блюдце для прямой чайной пары ""Сплетено"", фарфор, 15 см, белый, зеленый, золото, Блюдце для чашки, фарфор, ""Снегири"" ПСБ,15 см, Блюдце с деколью, Блюдце с дизайном, 1 макет, Блюдце-поднос для чашки, фарфор, ""Сказочный город"" РСХБ, 30х13 см, Блюдце-поднос для чашки, фарфор, ""Цветочная геометрия, зеленый"" РСХБ, 30х13 см, Блюдце-поднос для чашки, фарфор, ""Цветочная геометрия, фиолетовый"" РСХБ, 30х13 см, Большое блюдо 27 см, белье, Ваза с дизайном ""Вкусо и точка"", 1 макет, Деколь на блюдце А, Деколь на блюдце Б, Деколь на большое блюдо 27 см, Деколь на десертное блюдо 20см, Деколь на елочные шары, Деколь на марку, 2 макет А, Деколь на марку, 2 макет Б, Деколь на марку, макет 1, Деколь на мультивазу ""Хэдхантер"", универсальный подарок 2024, Деколь на полусферу, Деколь на прямую чашку, Деколь на фарфоровую кружку, Деколь на чайник, Деколь на чашку, Десертное блюдо 20 см, белье, Диффузор ""Blue Garden. Белый дизайн"" / колба, Диффузор ""Botanicum. Маки"" / конус, Диффузор ""Botanicum. Рододендрон"" / конус, Диффузор ""Yin Flower"" / конус, Диффузор ""Стрела афродиты"" / колба, Диффузор колба белье, Диффузор конус / белье, Диффузор с дизайном, Елочное крепление, 10мм, Елочный шар, Елочный шар с серебрянным креплением, 3 макета, Емкость для хранения с деколью, Емкость для хранения с дизайном ХХ, Игрушка марка, белье,фарфор А, Игрушка марка, белье,фарфор Б, Кисточка с петелькой 4см для елочных игрушек ""Ярмарка.Карусель"", Кольцо с дизайном ХХ, Кофейная пара с деколью, Крепление елочное, внутренний диаметр 22мм, золотой А, Крепление елочное, внутренний диаметр 22мм, золотой Б, Мультиваза ""К. Овчинников. Лемуры"", Мультиваза ""Русалка"", Мультиваза ""Сердце Зевса"", Мультиваза ""Стрела Афродиты"", Мультиваза белая / белье А, Мультиваза белая / белье Б, Мультивиза «Хэдхантер»,универсальный подарок 2024, Полусфера, белье, Прямая чайная пара с деколью ""Хозяин леса"", Прямая чашка с деколью, Стаканчик ""Blue Garden. Белый дизайн"", 120 мл, Стаканчик ""Blue Garden. Голубой дизайн"", 120 мл, Стаканчик ""Амазония. Попугай с какао-бобами"", Стаканчик ""Амазония. Попугай с лилией"", 120 мл, Стаканчик для свечки, Стаканчик с дизайном, Тара для аромасвечей, Тарелка с бортами с дизайном ХХ, Фарфоровая игрушка, белье, Чайная пара ""Blue Garden. Белый дизайн"" / прямая форма / 250 мл, Чайная пара ""Blue Garden. Голубой дизайн"" / прямая форма / 250 мл, Чайная пара ""Blue Garden. Розовый дизайн"" / прямая форма / 250 мл, Чайная пара ""Botanicum. Ирисы."" / прямая форма / 250 мл, Чайная пара ""Botanicum. Маки."" / прямая форма / 250 мл, Чайная пара ""Yin Flower"" / прямая форма / 250 мл, Чайная пара ""Амазония. Лилия с какао-бобами"" / прямая форма / 250 мл, Чайная пара ""Амазония. Попугай с какао-бобами"" / прямая форма / 250 мл, Чайная пара ""Иллюзии. Чашка, блюдце с узором / прямая форма / 250 мл, Чайная пара ""Спортсмены. Хоккеист"" / прямая форма / 250 мл, Чайная пара / прямая форма / 250 мл, Чайная пара Farforite «Рябиновые бусы» 250 мл белая / красная, Чайная пара на ножке ""Каток на Красной площади"", фарфор, 250мл, золото Б, Чайная пара на ножке ""Каток на Красной площади"", фарфор, 250мл, золото В, Чайная пара на ножке ""Каток на Красной площади"", фарфор, 250мл, золото Г, Чайная пара с деколью, Чайная пара. 200 мл, Чайник с деколью ""Хозяин леса"" Б, Чайник, белье, Чайник, фарфор, ""Сказочный город"" РСХБ, 800 мл, Чайник, фарфор, ""Цветочная геометрия, зеленый"" РСХБ, 800 мл, Чашка белье, Чашка для прямой чайной пары ""Сплетено"", 250 мл, фарфор, белый, зеленый, золото, Чашка с дизайном, 4 макета, Чашка чайная, фарфор, ""Сказочный город"" РСХБ, 250 мл, Чашка чайная, фарфор, ""Снегири"" ПСБ, 250 мл., Чашка чайная, фарфор, ""Цветочная геометрия, зеленый"" РСХБ, 250 мл, Чашка чайная, фарфор, ""Цветочная геометрия, фиолетовый"" РСХБ, 250 мл, Шар елочный с креплением"
Зарядные устройства,"16 674,00","26,00","2 505,59","1 874,88","35 234 091,93","5,46%","03919 магнитная беспроводная зарядка, 03926 прозрачный портативный аккумулятор, Powerbank с символикой Яндекс Реклама А, Powerbank с символикой Яндекс Реклама Б, Powerbank с символикой Яндекс Реклама В, Аккумулятор GNB 2300 mAh 4s XT60, Аккумулятор GNB LiHV 4500 mAh 6s XT60, Аккумулятор к очкам GNB 2300 mAh 4s XT60, Беспроводная зарядка, ЗАРЯДНЫЕ УСТРОЙСТВА ДЛЯ АККУМУЛЯТОРНЫХ БАТАРЕЙ В КОРПУСЕ ИЗ ПОЛИМЕРНОГО МАТЕРИАЛА СЕРИЯ ""SYSMAX INDUSTRY CO.,LTD"" , ИЗГ: SYSMAX INDUSTRY CO.,LTD, TM: НЕ ОБОЗНАЧЕН,, Зарядное устройство 10000mAh. Вид 2 А, Зарядное устройство 10000mAh. Вид 2 Б, Зарядное устройство 10000mAh. Вид 2 В, Зарядное устройство 10000mAh. Вид 2 Г, Зарядное устройство 10000mAh. Вид 2 Д, Зарядное устройство 10000mAh. Вид 2 Е, Зарядное устройство ToolkitRC M6DAC, Зарядное устройство Б, Зарядное устройство В, ПЗУ HIGHWAY, ПЗУ c LED логотипом, Пауэрбанк А, Пауэрбанк Б, Пауэрбанк В, Пауэрбанк Г, Портативное зарядное устройство"
Наборы,"9 919,00","20,00","5 140,57","5 459,25","34 897 930,02","5,41%","03729 Набор баночек с щепой, ВИП боксы, Комплект мц А, Комплект мц Б, Набор 1, Набор 1 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Подставка под ноутбук, Картхолдер, Набор 2, Набор 2 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Несессер, Портмоне, Новогодняя иг, Набор 3 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Доска разделочная, Электрическая, Набор 4 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Караоке с 2 микрофонами, Гирлянда, Набор 5 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Мультизарядка, Плед флис, Коробка, Набор 6 с символикой Яндекс GO, Яндекс ПРО, Яндекс Go для бизнеса (Зонт, Плед туристический, Коробка, Набор для путешествий, Набор резинок БЯ А, Набор резинок БЯ Б, Набор стандарт 1, Набор стандарт 2 (кожа), Подарочный набор для партнеров с символикой Yandex Ads А, Подарочный набор для партнеров с символикой Yandex Ads Б, Подарочный набор для партнеров с символикой Yandex Ads В"
Рюкзаки,"12 359,00","14,00","2 778,48","2 480,00","32 790 854,73","5,08%","Дутый рюкзак Б, Дутый рюкзак Г, Рюкзак ""Palitra"", жаккард, черный-фиолетовый, 40х30х12 см Б, Рюкзак ""Palitra"", жаккард, черный-фиолетовый, 40х30х12 см В, Рюкзак ""Palitra"", жаккард, черный-фиолетовый, 40х30х12 см Г, Рюкзак ""Palitra"", жаккард, черный-фиолетовый, 40х30х12 см Д, Рюкзак А, Рюкзак ВК с Джибитсами А, Рюкзак ВК с Джибитсами Б, Рюкзак градиент Б, Рюкзак дутый А, Рюкзак дутый Б, Рюкзак дутый, черный (В), Рюкзак черный"
Платки,"104 900,00","7,00","249,31","249,70","17 933 990,00","2,78%","Бандана, Платок Орлята России А, Платок Орлята России Б, Платок Орлята России В, Платок с логотипом А, Платок с логотипом Б, Платок с логотипом В"
Очки умные,"1 706,00","1,00","6 781,13","6 781,13","11 568 611,00","1,79%",Очки Hakii Wind II Б
Бейджи и ланъярды,"58 517,00","33,00","367,75","300,00","10 821 112,46","1,68%","03894 Кармашек для пропуска, 04365 Ланъярд с кармашком и ретрактором, Бейдж с ланърдом и ретрактором с макетом ОЗК Трейдинг, Бейдж с ланъярдом и ретрактором с макетом ОЗК, Держатель для бейджа, черный, 24х16 мм, Карман для бейджа А, Карман для бейджа Б, Кармашек для пропуска с лентой и ретрактором, Ланъярд А, Ланъярд Б, Ланъярд В, Ланъярд Д, Ланъярд с кармашком и ретрактором А, Ланъярд с кармашком и ретрактором Б, Ланъярд с символикой Яндекс А, Ланъярд с символикой Яндекс Реклама А, Ланъярд с символикой Яндекс Реклама Б, Ланъярд с символикой Яндекс Реклама В, Ланъярд узкий, Ланъярд узкий с карабином, Ланъярд широкий зеленый, Ланъярд широкий черный, Ланъярды А, Ланъярды В, Ланьярд, Ланьярд с бейджем, ПВХ бейдж, Подвес на ланъярд, Ретрактор ПВХ, Ретрактор металлический черный, Шнурок, Шнурок для телефона с ПВХ шильдом, Шнурок на шею с брелоком, с ПВХ подвесом, с вставкой под чехол, в пакете с символикой Яндекс GO"
Бутылки,"19 278,00","21,00","747,33","718,20","10 649 924,39","1,65%","Бутылка 500 мл Б, Бутылка 500 мл В, Бутылка 500 мл Г, Бутылка 500 мл Д, Бутылка А, Бутылка Б, Бутылка В, Бутылка для воды, Бутылка плоская прозрачная с нанесением, Бутылка плоская прозрачная с нанесением 1+4, Бутылка с пульверизатором, Бутылка со стропой А, Бутылка со стропой Б, Бутылка спортивная А, Бутылка спортивная Б, Дорожный набор бутылочек, Силиконовая бутылочка 60 мл., цвет белый, Силиконовая бутылочка 60 мл., цвет оранжевый, Силиконовая бутылочка 60 мл., цвет серый, Силиконовая бутылочка 60 мл., цвет синий, Термобутылка Soft Touch покрытие черная"
Канцелярия,"96 428,00","20,00","345,50","138,67","10 331 353,93","1,60%","02090 кисточка 04, 03633 калькулятор инженерный, 03810 кисточка 0, 03896 щеточка, Вымпел, Доска, Календарь, Мини-мольберты, Набор маркеров А, Набор маркеров Б, Пенал с наполнением А, Пенал с наполнением Б, Планшет, Подставка для визиток, Светильник, Сувенирная продукция книга настольный светильник, Тетрадь, Флаг, Фломастер стирающийся, калькулятор с планшетом для письма"
Фотоаппараты,"168,00","10,00","852 576,83","10 947,51","9 563 723,54","1,48%","Бумага для фотопринтера Xiaomi Mi Portable Photo Printer 50 листов А, Бумага для фотопринтера Xiaomi Mi Portable Photo Printer 50 листов Б, Бумага для фотопринтера Xiaomi Mi Portable Photo Printer 50 листов В, Производство бумаги для фотопринтера Xiaomi Mi Portable Photo Printer 50 листов А, Производство бумаги для фотопринтера Xiaomi Mi Portable Photo Printer 50 листов Б, Производство фотопринтеров Xiaomi Mi Portable Photo Printer А, Производство фотопринтеров Xiaomi Mi Portable Photo Printer Б, Фотопринтер Xiaomi Mi Portable Photo Printer А, Фотопринтер Xiaomi Mi Portable Photo Printer Б, Фотопринтер Xiaomi Mi Portable Photo Printer В"
Картхолдеры,"41 479,00","13,00","390,01","264,70","9 352 159,00","1,45%","Картхолдер А, Картхолдер В, Картхолдер Г, Картхолдер Д, Картхолдер Е, Картхолдер Ж, Картхолдер ЦМРБанк (серый) В, Картхолдер для телефона синий, Картхолдер для телефона черный, Картхолдер металлический черный, Картхолдер на магните, Картхолдер синий, Ключница"
Дроны,"6 840,00","69,00","4 505,70","399,09","8 816 154,61","1,37%","1-канальный модуль реле 3.3 вольта 1 Channel Relay Module High and low Level Trigger 3.3v, АКБ GNB LiHV 7500 mAh 6s XT90 А, АКБ GNB LiHV 7500 mAh 6s XT90 Б, АКБ к аппаратуре samsung INR18650-35E, Антенна Foxeer lollipop 4+ sma 10cm, Антенна Foxeer lollipop 4+ sma angle 15cm, Антенна направленная 5.8 GHz Triple Feed Patch 8dBi, Аппаратура управления Radiomaster TX12 MKII ExpressLRS, Армированный скотч 30мм*10м, Ацетатная изолента 15мм*30м, Видеоочки SKYZONE SKY04L, Видеопередатчик 1,2 ГГц А, Видеопередатчик 1,2 ГГц Б, Видеопередатчик SpeedyBee VTX 5.8 GHz, Видеоприемник 1,2 ГГц, Винт M3*25, Винт м3*10,м3*8, м3*6 класс прочности 10.9 или 12.9, 12.10, Винт м3*14,м3*35 класс прочности 10.9 или 12.9, Внешний приемник FPV SKYDROID Mini 5.8G FPV Receiver, Вычислительный модуль Orange Pi 5, 4GB RAM, RK3588S, Гайка м3 со стопорным кольцом, Зажигалка бутановая турбо, Кабель питания паяльника XT60 – DC 5.5 2.5, Камера ночная RunCam Night Eagle 3, Камера универсальная Caddx Ratel Night Version, Камера универсальная Foxeer Cat 3 micro, Карта захвата аналогового видео USB Analog Video Capture Card, Квадрокоптер с цифровым видеопередатчиком Axisflying KOLAS7 ELRS 915 MHz with Walksnail Avatar HD Pr, Кейс для инструмента, Кнопочный выключатель KCD1-101 21*15mm, Кнопочный микропереключатель JL003, Коннектор питания XT60E-M, Куллер 2507 12 вольт, Кусачки, Макетная плата 60*80мм, Мачта телескопическая 8м, Микроконтроллер Arduino nano v3, Мотор AxisFlying AE3115 640kv, Мотор AxisFlying AE3115 900kv, Нейлоновые стяжки 4*300, ПК + Регулятор оборотов SpeedyBee F4 V3 F405 V3 and ESC 50A BLS 30x30 А, ПК + Регулятор оборотов SpeedyBee F4 V3 F405 V3 and ESC 50A BLS 30x30 Б, Паяльник SH72 with BC2 tip, Передатчик ELRS HappyModel es900tx, Подставка для паяльника металлическая с губкой, Понижающий преобразователь напряжения BEC 5V 5A 2s-7s, Преобразователь напряжения Matek MBEC 12s, Приемник ELRS 2,4 ГГц, Приемник ELRS HappyModel es900rx, Провод AWG 10 красный, черный, Пропеллеры Gemfan Tri-Blade 1050-3 (1 CCV + 1 CV), Пропеллеры HQProp Bi-Blade 10*4.5(CCW,CW), Пропеллеры HQProp Bi-Blade 12*4.5(CCW,CW), Радиатор 20*20*10мм, Радиатор-корпус для вычислительного модуля Orange Pi 5, Разъем MPX, Разъём питания XT90-M А, Разъём питания XT90-M Б, Рама Axisflying Manta 10"" lite, Ремешок для аккумулятора 20*300мм А, Ремешок для аккумулятора 20*300мм Б, Ремешок для батарей 20*300мм, Сд карта SanDisk Extreme microSDXC U3 64GB, Сервопривод MG90S 180 degree metall gears, Стойки м3*25, м3*30, Удлинитель 6с провод 6s LIPO Balance Extension Cable 30cm, Универсальный ключ ФПВ крестообразный ключ с головками M3 M5 и hex отвертками 1,5мм  2мм, Флюс RMA-218, Цифровой видеоприемник Walksnail Avatar VRX"
