Название,Фото,Фото 2,Можно,hard forbid,,
Термобутылка,,,"Изменить цвет бутылки, крышки
Выкрасить части бутылки в отличные друг от друга цвета
Матовая, глянцевая или софт-тач окраска
Градиент цвета на основной части бутылки
Уф-печать, шелкография, лазерная гравировка
Добавить аксессуар - индивидуальную упаковку, сумку для бутылки, силиконове дно/кольцо","Нельзя изменить конструкцию - нельзя менять форму корпуса, крышки или петли
Нельзя добавлять детали, не предусмотренные конструкцией - нельзя добавить трубочку или приклеить ручку
Нельзя сделать непродусмотренные для бутылок виды нанесения - наклейки, объемное нанесение, вышивка
Нельзя печатать на рельефных зонах с сильной геометрией 
Нельзя печатать на узких участках и детялях",,
"Ланъярд, ланьярд, шнурок для телефона",,,"Изменить цвет шнурка
Изменить цвет фурнитуры
Добавить бирки с брендированием, дополнительную фурнитуру, пластиковые элементы, крепления, карабины
Изменить длину, толщину, форму шнурка (плоский, круглый)
Изменить материал шнурка
Изменить плетение шнурка (1-5 цветов)
Добавить индивидуальную упаковку
Поменять фурнитуру","Нельзя сделать нанесение на самом шнурке, если он не плоский
Нельзя сделать плетение многоцветным (до 5 цветов)
Нельзя использовать материалы, не применимые для шнурка - его будут носить на шее
Нельзя печатать на узких участках и детялях",,
Картхолдер,,,"Изменить цвета деталей
Изменить цвет ниток (1 цвет)
Изменить форму
Изменить материал, фактуру кожи
Нанести логотип разными методами печати (шелкография, УФ, тиснение)
Добавить индивидуальную упаковку
Добавить бирку
","Нельзя менять форму, если это нарушит функционал изделия, функция товара не должна меняться
Нельзя выкрасить в градиентный цвет 
Нельзя сделать непродусмотренные для картхолдера виды нанесения - наклейки, объемное нанесение",,
Снежный шар,,,"Изменить фигурку или наполнитель внутри
Изменить цвет, форму подставки
Нанести логотип на основание","Нельзя менять форму и материал купола
Нельзя нарушать герметичность
Нельзя использовать цветную жидкость
Нельзя сделать стекло цветным
Нельзя нанести логотип на стекло",,
"Шоппер, сумка",,,"Изменить цвет ткани и ручек
Нанести принт шелкографией, термотрансфером, уф-печатью или вышивкой
Добавить бирки, карманы, лейблы
Изменить материал ткани
Изменить фурнитуру
Изменить размер, форму сумки
Изменить длину, ширину ручек","Нельзя менять форму, если это нарушит функционал изделия, функция товара не должна меняться
Нельзя перегружать изделие неподходящим весом
Нельзя использовать материалы, нарушающие прочность швов",,
Зонт,,,"Изменить цвет купола, ручки, хлястика, чехла, шнурка
Нанести логотип разными водостойкими методами печати (шелкография, УФ)
Добавить индивидуальную упаковку
Добавить детали, типичные для зонта - хлястик, шнурок, чехол
Изменить форму и цвет ручки, нанести логотип на ручку
Запечатать купол зонта изображением снаружи и изнутри
Сделать нанесение, проявляющееся от намокания
","Нельзя менять форму и размер
Нельзя нарушать функциональность и прочность
Нельзя менять количество спиц
Нельзя 
Нельзя сделать непродусмотренные для зонта виды нанесения - наклейки, объемное нанесение
Нельзя печатать на узких участках и детялях (спицах, трости)",,
"Дорожная подушка, туристическая подушка",,,"Изменить цвет изделия и фурнитуры
 Нанести логотип разными методами печати (шелкография, УФ, термотрансфер, вышивка)
 Добавить индивидуальную упаковку
Изменить фурнитуру
Добавить бирку
Добавить аксессуар - чехол, мешочек","Нельзя менять форму изделия
Нельзя добавлять функции, требующие переделки конструкции
Нельзя сделать непродусмотренные для подушки виды нанесения - наклейки, объемное нанесение",, 
"Поясная сумка, сумка",,,"Изменить цвет ткани и ремня
Нанести принт шелкографией, термотрансфером, уф-печатью или вышивкой
Добавить бирки, карманы, лейблы
Изменить материал ткани
Изменить фурнитуру
Изменить размер, форму сумки
Изменить ширину, материал ремня
Сделать тиснение логотипа на ремне","Нельзя менять форму, если это нарушит функционал изделия, функция товара не должна меняться
Нельзя перегружать изделие неподходящим весом
Нельзя использовать материалы, нарушающие прочность швов",,
"Ежедневник, блокнот",,,"Изменить цвет обложки
Нанести логотип тиснением, УФ-печатью, шелкографией, сделать полную запечатку обложки
Изменить материал обложки, комбинировать разные материалы обложки
Добавить закладки, резинки, держатели для ручки, карманы
Выкрасить срез бумаги или сделать на нем нанесение","Нельзя менять форму
Нельзя нарушать структуру переплета
",,
"Картхолдер магнитный, картхолдер для телефона",,,"Изменить цвета деталей
Изменить цвет ниток (1 цвет)
Изменить форму
Изменить материал, фактуру кожи
Нанести логотип разными методами печати (шелкография, УФ, тиснение)
Добавить индивидуальную упаковку
Добавить бирку
","Нельзя менять форму, если это нарушит функционал изделия, функция товара не должна меняться
Нельзя выкрасить в градиентный цвет 
Нельзя сделать непродусмотренные для картхолдера виды нанесения - наклейки, объемное нанесение",,
"Кепка, бейсболка",,,"Сделать нанесение: вышивка, шелкография, термотрансфер, флекстран, тиснение по коже/шильдикам, нашивки/патчи
Изменить цвет всей кепки или каждой детали по отдельности (клинья, козырек, люверсы, кнопка, застежка, внутренняя лента)
Добавить бирки, шильды, нашивки
Изменить материал, комбинировать разные материалы
Изменить форму козырька
Изменить количество клиньев (5 или 6)
Изменить фурнитуру, застежку","Нельзя менять форму, если это нарушит функционал изделия, функция товара не должна меняться
Нельзя нарушать функциональность и прочность",,